name,rating,score,votes,budget,gross,runtime,log_votes,weighted_score,runtime_category,director_top10,writer_top10,star_top30,genre_top10,country_top5,company_top10,is_hit
Iron Monkey,PG-13,0.7567567567567567,0.4676888296353757,0.6944541795198192,0.6946167551113531,0.10576923076923078,9.680406499268877,72.60304874451656,short,Others,Others,Others,Action,Others,Others,0
Mr. Nanny,PG,0.2567567567567567,0.40538180759447906,0.6856451599423127,0.6160576112240472,0.10096153846153844,9.093918908958932,34.55689185404394,short,Others,Others,Others,Action,United States,New Line Cinema,0
"Faraway, So Close!",PG-13,0.7297297297297296,0.39136782793671043,0.6901545786768871,0.5076689149685374,0.3701923076923077,8.962007209588313,65.42265262999469,long,Others,Others,Others,Drama,Germany,Others,0
Dangerous Game,R,0.4999999999999999,0.3092418926760915,0.6856451599423127,0.5362002408557112,0.21634615384615385,8.188966863648876,45.8582144364337,normal,Others,Others,Others,Drama,Others,Others,0
Deadfall,R,0.28378378378378377,0.28987839206421595,0.6856451599423127,0.2633514585381536,0.16826923076923078,8.006700845440367,32.02680338176147,normal,Others,Others,Others,Crime,United States,Others,0
A Home of Our Own,PG,0.7027027027027026,0.28987839206421595,0.7024961843855658,0.5546143702991033,0.19711538461538458,8.006700845440367,56.8475760026266,normal,Others,Others,Others,Biography,United States,Others,0
Guilty as Sin,R,0.4999999999999999,0.3419872554889243,0.7024961843855658,0.7231435268324957,0.21153846153846156,8.497194544909547,47.58428945149346,normal,Others,Others,Others,Crime,United States,Others,0
The Wedding Banquet,R,0.7702702702702701,0.4535037261729734,0.472829370366873,0.6461554465652126,0.20673076923076927,9.546884034617923,72.55631866309622,normal,Others,Others,Others,Comedy,Others,Others,1
Aspen Extreme,PG-13,0.5540540540540541,0.2825512849832452,0.7167435227488349,0.655716889453059,0.24038461538461542,7.937731775260109,47.626390651560655,normal,Others,Others,Others,Drama,United States,Others,0
Blink,R,0.581081081081081,0.39405719011495655,0.6944541795198192,0.7028543642568381,0.20673076923076927,8.987321812850125,55.72139523967078,normal,Others,Others,Others,Crime,United States,New Line Cinema,0
Sugar Hill,R,0.5405405405405406,0.32811350808110396,0.6856451599423127,0.7085086474911009,0.28846153846153844,8.366602832783736,49.36295671342404,long,Others,Others,Others,Crime,United States,Others,0
Man's Best Friend,R,0.44594594594594594,0.3230548243408391,0.6384322308341582,0.686584124271538,0.11538461538461536,8.31898612539206,43.25872785203872,short,Others,Others,Others,Comedy,United States,New Line Cinema,1
Mr. Jones,R,0.527027027027027,0.37834463029383747,0.7703331046475647,0.6581171910749875,0.2451923076923077,8.839421607620602,51.26864532419949,normal,Others,Others,Richard Gere,Drama,United States,Others,0
Carnosaur,R,0.22972972972972971,0.3121518960155386,0.45780861375281956,0.5574788741173315,0.09615384615384615,8.216358332386156,29.57888999659016,short,Others,Others,Others,Horror,United States,Others,1
Mr. Wonderful,PG-13,0.5405405405405406,0.2967325957703041,0.709894111775549,0.5947491485644001,0.16826923076923078,8.071218539969863,47.620189385822194,normal,Others,Others,Others,Comedy,United States,Others,0
Cop & ½,PG,0.29729729729729726,0.39796773758361914,0.7167435227488349,0.7603254884483126,0.16346153846153844,9.024131268455037,36.99893820066564,normal,Others,Others,Others,Comedy,United States,Others,1
Madadayo,Not Rated,0.7297297297297296,0.3462364753374205,0.7017227509895655,0.04228078434000726,0.34134615384615385,8.537191877922927,62.32150070883737,long,Others,Others,Others,Drama,Others,Others,0
Money for Nothing,R,0.5135135135135135,0.3121518960155386,0.6944541795198192,0.5237472019523,0.17788461538461536,8.216358332386156,46.83324249460109,normal,Others,Others,John Cusack,Comedy,United States,Others,0
Son of the Pink Panther,PG,0.2702702702702703,0.344133108679866,0.7703331046475647,0.578724509863227,0.14423076923076922,8.517393171418904,33.217833368533725,normal,Others,Others,Others,Comedy,Others,Others,0
"Bodies, Rest & Motion",R,0.5135135135135135,0.25694115540180484,0.5575172651627937,0.5039217271758103,0.15384615384615385,7.696667081526462,43.87100236470084,normal,Others,Others,Others,Drama,United States,Others,0
Mother's Boys,R,0.472972972972973,0.28987839206421595,0.665021173255664,0.5015872645480159,0.15865384615384615,8.006700845440367,43.23618456537798,normal,Others,Others,Others,Drama,United States,Others,0
The Nutcracker,G,0.5405405405405406,0.24137397811658956,0.7449683464354199,0.5697065103715448,0.13942307692307693,7.550135342488429,44.545798520681736,normal,Others,Others,Others,Others,United States,Others,0
Philadelphia Experiment II,PG-13,0.3513513513513513,0.24137397811658956,0.6215812079313173,0.1458133481323915,0.16346153846153844,7.550135342488429,33.97560904119793,normal,Others,Others,Others,Action,United States,Others,0
Fear of a Black Hat,R,0.7162162162162161,0.3177431667737549,0.47282927794216,0.4274729146711492,0.12019230769230771,8.268988209506656,59.53671510844792,short,Others,Others,Others,Comedy,United States,Others,0
Boiling Point,R,0.41891891891891886,0.3580506252785286,0.6759072406803831,0.670158366171629,0.13942307692307693,8.648396877031582,43.24198438515791,normal,Others,Others,Others,Action,United States,Others,0
Josh and S.A.M.,PG-13,0.5135135135135135,0.20895092791444925,0.7399711967991446,0.553152599684601,0.15865384615384615,7.244941546337007,41.29616681412094,normal,Others,Others,Others,Adventure,United States,Others,0
The Night We Never Met,R,0.5540540540540541,0.2661810110894568,0.665021173255664,0.5621203571745981,0.17307692307692307,7.783640596221253,46.70184357732752,normal,Others,Others,Others,Comedy,United States,Others,0
